PC	RegWrite	RegAddr	RegData	MemWrite	MemAddr	MemData
0000 0000 0000 0000 0000 0000 0000 0001	1	0 0001	1111 1111 1111 1111 0000 0000 0000 0000	0	0 0000	1111 1111 1111 1111 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0010	1	0 1001	1111 1111 1111 1111 0000 0000 0000 0000	0	0 0000	1111 1111 1111 1111 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0011	1	0 0001	1111 1111 0000 0000 0000 0000 0000 0000	0	0 0000	1111 1111 1111 1111 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0100	1	0 0001	1111 1111 0000 0000 1111 1111 0000 0000	0	0 0000	1111 1111 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 0101	1	0 1010	1111 1111 0000 0000 1111 1111 0000 0000	0	0 0000	1111 1111 0000 0000 1111 1111 0000 0000
0000 0000 0000 0000 0000 0000 0000 0110	1	0 1011	0000 0000 1111 1111 1111 1111 0000 0000	0	0 0000	1111 1111 0000 0000 1111 1111 0000 0000
0000 0000 0000 0000 0000 0000 0000 0111	1	0 0000	0000 0000 1111 1111 1111 1111 0000 0000	0	0 0000	1111 1111 0000 0000 1111 1111 0000 0000
0000 0000 0000 0000 0000 0000 0000 1000	1	0 1011	1111 1111 1111 1111 0000 0000 0000 0000	0	0 0000	0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 1001	1	0 1011	1111 1111 0000 0000 1111 1111 0000 0000	0	0 0000	1111 1111 0000 0000 1111 1111 0000 0000
0000 0000 0000 0000 0000 0000 0000 1010	1	0 1011	0000 0000 0000 0000 0000 0000 0000 0000	0	0 0000	0000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 1011	1	0 0001	1111 1111 1111 1111 0000 0000 0000 0000	0	0 0000	1111 1111 0000 0000 1111 1111 0000 0000
0000 0000 0000 0000 0000 0000 0000 1100	1	0 0001	1111 1111 1111 1111 1111 1111 1111 1111	0	1 1111	1111 1111 1111 1111 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0000 1101	1	0 1001	1111 1111 1111 1111 1111 1111 1111 1111	0	1 1111	1111 1111 1111 1111 1111 1111 1111 1111
0000 0000 0000 0000 0000 0000 0000 1110	1	0 1001	1111 1111 1111 1111 1111 1111 1111 1111	0	1 1111	1111 1111 1111 1111 1111 1111 1111 1111
0000 0000 0000 0000 0000 0000 0000 1111	0	0 1001	0000 0000 0000 0000 0000 0000 0000 0000	1	0 0000	1111 1111 1111 1111 1111 1111 1111 1111
0000 0000 0000 0000 0000 0000 0001 0000	1	0 1001	1111 1111 1111 1111 1111 1111 0000 0000	0	0 0000	1111 1111 1111 1111 1111 1111 1111 1111
0000 0000 0000 0000 0000 0000 0001 0001	0	0 1001	0000 0000 0000 0000 0000 0000 0000 0100	1	0 0001	1111 1111 1111 1111 1111 1111 0000 0000
0000 0000 0000 0000 0000 0000 0001 0010	1	0 1001	1111 1111 1111 1111 1111 1111 1111 0000	0	1 1100	1111 1111 1111 1111 1111 1111 0000 0000
0000 0000 0000 0000 0000 0000 0001 0011	0	0 1001	0000 0000 0000 0000 0000 0000 0000 1000	1	0 0010	1111 1111 1111 1111 1111 1111 1111 0000
0000 0000 0000 0000 0000 0000 0001 0100	1	0 1001	0000 1111 1111 1111 1111 1111 1111 1111	0	1 1111	1111 1111 1111 1111 1111 1111 1111 0000
0000 0000 0000 0000 0000 0000 0001 0101	0	0 1001	0000 0000 0000 0000 0000 0000 0000 1100	1	0 0011	0000 1111 1111 1111 1111 1111 1111 1111
0000 0000 0000 0000 0000 0000 0001 0110	1	0 1001	1111 1111 1111 1111 1111 1111 1111 1111	0	0 0000	0000 1111 1111 1111 1111 1111 1111 1111
0000 0000 0000 0000 0000 0000 0001 0111	1	0 1001	1000 0000 0000 0000 0000 0000 0000 0000	0	0 0000	1111 1111 1111 1111 1111 1111 1111 1111
0000 0000 0000 0000 0000 0000 0001 1000	1	0 1001	1111 1111 1111 1111 1111 1111 0000 0000	0	0 0001	1000 0000 0000 0000 0000 0000 0000 0000
0000 0000 0000 0000 0000 0000 0001 1000	1	0 1001	1111 1111 1111 1111 1111 1111 0000 0000	0	0 0001	1000 0000 0000 0000 0000 0000 0000 0000
